Order ID,Order Date,Customer Name,Region,Country,City,Category,Sub-Category,Sales Amount,Quantity,Discount %,Profit,Order Priority,Customer Segment,Sales Rep,Remarks
ORD-1038,22-02-2023,Customer 18,,UK,Birmingham,Furniture,Table,1300.3,6,10,310.23,Low,Corporate,Rep-6,
ORD-1039,21-03-2023,Customer 54,,India,Bangalore,Technology,Laptop,1159.93,1,0,-331.68,High,Home Office,Rep-4,Urgent
ORD-1040,23-01-2024,Customer 39,,USA,New York,Office Supplies,Paper,2975.84,8,5,819.23,Low,Corporate,Rep-3,Delayed
ORD-1041,20-12-2023,Customer 38,,Australia,Sydney,Office Supplies,Binder,2770.9,2,,553.47,Low,Consumer,Rep-7,Delayed
ORD-1042,02-02-2023,Customer 53,West,India,Bangalore,Furniture,Table,2475.93,5,0,57.92,Medium,Home Office,Rep-2,Returned
ORD-1043,28-11-2023,Customer 56,North,Canada,Toronto,Office Supplies,Paper,1614.67,4,,911.38,Low,Corporate,Rep-1,
ORD-1044,18-08-2023,Customer 14,North,UK,London,Office Supplies,Binder,542.61,4,,-295.87,Medium,Consumer,Rep-6,Returned
ORD-1045,27-03-2023,Customer 26,West,Canada,Toronto,Technology,Accessories,1216.07,2,10,74.1,Low,Home Office,Rep-5,
ORD-1046,13-03-2023,Customer 51,,India,Bangalore,Technology,Mobile,2882.43,1,10,-193.62,High,Home Office,Rep-4,Delayed
ORD-1047,07-03-2023,Customer 21,East,Australia,Sydney,Technology,Laptop,1570.57,9,5,702.32,Low,Corporate,Rep-1,Delayed
,10-08-2023,Customer 15,East,USA,New York,Furniture,Table,1462.16,7,5,-476.13,Low,Corporate,Rep-6,Urgent
ORD-1049,01-05-2023,Customer 18,North,Canada,Montreal,Office Supplies,Storage,2125.53,2,,458.28,High,Home Office,Rep-7,
ORD-1050,07-11-2023,Customer 11,North,USA,New York,Technology,Mobile,1837.21,8,,3.81,Low,Consumer,Rep-3,Delayed
ORD-1051,05-10-2023,Customer 17,West,India,Mumbai,Technology,Mobile,765.07,4,10,52.61,High,Corporate,Rep-1,
ORD-1052,03-05-2023,Customer 40,West,India,Delhi,Office Supplies,Binder,577.36,1,10,860.56,High,Corporate,Rep-7,Returned
ORD-1053,21-11-2023,Customer 46,,UK,Birmingham,Furniture,Chair,855.15,1,5,901.83,Medium,Corporate,Rep-3,
ORD-1054,07-11-2023,Customer 25,East,UK,Manchester,Furniture,Table,1998.04,7,5,502.47,Low,Consumer,Rep-2,
ORD-1055,03-01-2023,Customer 32,South,UK,Birmingham,Technology,Laptop,1401.86,7,5,557.82,High,Corporate,Rep-3,Delayed
ORD-1056,25-11-2023,Customer 39,South,Canada,Vancouver,Furniture,Bookcase,1877.94,8,0,718.45,Low,Home Office,Rep-1,
ORD-1057,18-07-2023,Customer 35,North,India,Delhi,Office Supplies,Storage,498.7,7,0,501.79,Low,Consumer,Rep-2,Urgent
ORD-1058,16-05-2023,Customer 8,East,UK,Birmingham,Technology,Mobile,989.62,1,5,921.65,Medium,Corporate,Rep-6,
ORD-1059,17-01-2023,Customer 16,East,India,Mumbai,Furniture,Chair,1265.58,4,10,386.97,Medium,Home Office,Rep-1,
,13-09-2023,Customer 44,South,Canada,Montreal,Technology,Mobile,1924.67,8,,745.04,Low,Corporate,Rep-7,Returned
ORD-1061,03-02-2024,Customer 8,East,USA,San Francisco,Furniture,Bookcase,817.92,9,0,203.3,Medium,Home Office,Rep-1,Returned
ORD-1062,08-05-2023,Customer 43,North,USA,San Francisco,Furniture,Bookcase,1872.4,2,5,332.26,Low,Consumer,Rep-2,
ORD-1063,25-01-2024,Customer 32,East,Australia,Sydney,Office Supplies,Paper,113.64,4,,-170.97,Medium,Corporate,Rep-2,
ORD-1064,13-06-2023,Customer 5,East,UK,London,Furniture,Chair,402.64,4,0,-306.63,Low,Corporate,Rep-4,Urgent
ORD-1065,19-07-2023,Customer 2,West,Canada,Vancouver,Office Supplies,Storage,951.27,1,0,550.48,High,Home Office,Rep-5,Urgent
ORD-1066,03-06-2023,Customer 29,East,Australia,Sydney,Office Supplies,Binder,2357.7,7,5,-150.76,Low,Consumer,Rep-6,Returned
ORD-1067,20-10-2023,Customer 23,,UK,Birmingham,Furniture,Bookcase,504.94,5,,-284.61,Medium,Home Office,Rep-6,Delayed
ORD-1068,29-10-2023,Customer 50,,Australia,Brisbane,Furniture,Chair,2019.92,3,,-57.45,Low,Home Office,Rep-6,Delayed
ORD-1069,06-06-2023,Customer 51,North,India,Bangalore,Technology,Accessories,288.74,8,0,167.89,Low,Consumer,Rep-1,Delayed
ORD-1070,18-06-2023,Customer 3,West,UK,Birmingham,Technology,Mobile,1509.9,7,0,585.2,Low,Consumer,Rep-4,Delayed
ORD-1071,22-02-2023,Customer 34,East,Australia,Melbourne,Technology,Accessories,1012.05,9,,279.97,High,Home Office,Rep-4,Returned
,27-01-2023,Customer 31,South,USA,San Francisco,Office Supplies,Binder,1204.21,8,,475.29,Low,Home Office,Rep-1,Urgent
ORD-1073,14-10-2023,Customer 16,West,Australia,Sydney,Office Supplies,Paper,1614.34,1,5,110.69,Low,Corporate,Rep-4,Returned
ORD-1074,07-01-2024,Customer 26,East,India,Mumbai,Furniture,Chair,2102.96,6,5,152.26,Low,Consumer,Rep-4,Urgent
ORD-1075,25-10-2023,Customer 9,North,USA,Chicago,Office Supplies,Binder,352.14,8,0,822.72,High,Corporate,Rep-4,Delayed
ORD-1076,28-08-2023,Customer 57,North,USA,New York,Furniture,Table,1874.44,1,10,653.51,High,Corporate,Rep-1,
ORD-1077,09-08-2023,Customer 34,South,Canada,Vancouver,Furniture,Table,1914.85,7,,-497.44,Low,Home Office,Rep-6,Delayed
ORD-1078,16-06-2023,Customer 55,West,Canada,Montreal,Furniture,Chair,395.21,7,5,589.93,High,Corporate,Rep-7,Delayed
ORD-1079,25-03-2023,Customer 43,,USA,San Francisco,Furniture,Chair,1290.11,4,0,317.36,Medium,Corporate,Rep-2,Delayed
ORD-1080,08-02-2023,Customer 1,,USA,Chicago,Office Supplies,Binder,59.95,7,0,-242.47,High,Corporate,Rep-6,Delayed
ORD-1081,15-11-2023,Customer 31,South,Australia,Melbourne,Technology,Mobile,1924.32,2,10,-431.41,Medium,Consumer,Rep-1,
ORD-1082,13-05-2023,Customer 7,,India,Delhi,Office Supplies,Paper,1629.9,7,,-51.76,Medium,Home Office,Rep-4,
ORD-1083,24-05-2023,Customer 46,West,India,Bangalore,Office Supplies,Binder,844.74,6,5,353.95,Medium,Corporate,Rep-3,Urgent
,07-07-2023,Customer 41,,Australia,Brisbane,Technology,Accessories,1697.99,8,0,776.46,High,Consumer,Rep-6,Urgent
ORD-1085,07-05-2023,Customer 10,East,UK,Birmingham,Furniture,Chair,360.62,3,10,197.15,Low,Corporate,Rep-1,Returned
ORD-1086,02-11-2023,Customer 47,,India,Mumbai,Office Supplies,Paper,346.97,8,,904.21,Low,Corporate,Rep-6,Urgent
ORD-1087,05-08-2023,Customer 4,South,India,Mumbai,Office Supplies,Binder,2452.03,9,10,976.1,Medium,Corporate,Rep-1,Urgent
ORD-1088,22-03-2023,Customer 3,North,Australia,Brisbane,Technology,Accessories,2312.16,1,10,-366.13,Low,Corporate,Rep-4,
ORD-1089,11-07-2023,Customer 32,North,USA,New York,Technology,Laptop,1933.97,1,5,738.87,Medium,Home Office,Rep-5,Urgent
ORD-1090,27-12-2023,Customer 22,North,Canada,Montreal,Technology,Mobile,2329.63,8,10,-55.87,Medium,Corporate,Rep-7,
ORD-1091,10-10-2023,Customer 6,West,USA,Chicago,Technology,Accessories,569.15,7,5,56.18,High,Consumer,Rep-6,Returned
ORD-1092,20-04-2023,Customer 44,,India,Mumbai,Technology,Accessories,604.96,6,0,772.17,Low,Corporate,Rep-6,Urgent
ORD-1093,02-07-2023,Customer 26,North,UK,Birmingham,Technology,Mobile,863.1,1,0,-455.62,High,Home Office,Rep-3,
ORD-1094,28-01-2024,Customer 2,South,Australia,Melbourne,Furniture,Bookcase,1821.25,5,,884.77,High,Corporate,Rep-2,Urgent
ORD-1095,31-08-2023,Customer 43,,UK,Manchester,Office Supplies,Binder,1019.53,6,0,-416.48,High,Home Office,Rep-1,Delayed
,30-10-2023,Customer 33,South,USA,Chicago,Office Supplies,Binder,98.52,1,0,289.23,Medium,Consumer,Rep-2,
ORD-1097,04-08-2023,Customer 35,,India,Bangalore,Office Supplies,Storage,2867.31,4,0,686.25,High,Corporate,Rep-1,Delayed
ORD-1098,23-05-2023,Customer 9,,USA,Chicago,Furniture,Chair,213.11,8,,-235.78,Low,Corporate,Rep-1,Returned
ORD-1099,26-03-2023,Customer 4,,Canada,Montreal,Office Supplies,Paper,978.67,7,0,857.2,Low,Corporate,Rep-3,Urgent
ORD-1100,17-03-2023,Customer 35,South,India,Delhi,Furniture,Table,1352.49,7,10,108.05,Medium,Consumer,Rep-4,Returned
ORD-1101,13-05-2023,Customer 28,North,UK,London,Office Supplies,Binder,1599.86,8,5,317.1,Medium,Consumer,Rep-3,Delayed
ORD-1102,06-07-2023,Customer 59,North,UK,Birmingham,Office Supplies,Binder,2917.84,3,10,643.85,Low,Corporate,Rep-1,Urgent
ORD-1103,04-10-2023,Customer 53,South,USA,New York,Technology,Laptop,1300.7,6,0,-172.59,Medium,Corporate,Rep-6,
ORD-1104,30-03-2023,Customer 33,East,USA,San Francisco,Furniture,Bookcase,1942.05,3,10,-185.84,Medium,Home Office,Rep-1,
ORD-1105,10-10-2023,Customer 45,West,USA,Chicago,Technology,Mobile,163.11,3,5,-426.61,Medium,Consumer,Rep-4,Delayed
ORD-1106,14-01-2023,Customer 4,West,Canada,Vancouver,Office Supplies,Binder,505.8,7,5,-193.44,High,Consumer,Rep-3,
ORD-1107,13-12-2023,Customer 51,North,India,Delhi,Technology,Accessories,1968,1,,833.94,Medium,Home Office,Rep-2,
,17-01-2024,Customer 58,South,UK,Manchester,Furniture,Chair,1702.9,4,,-313.03,Low,Home Office,Rep-6,Urgent
ORD-1109,19-07-2023,Customer 42,North,Australia,Brisbane,Office Supplies,Paper,1538.65,3,5,964.11,Medium,Home Office,Rep-2,Returned
ORD-1110,29-12-2023,Customer 51,,UK,Birmingham,Technology,Accessories,2302.12,7,0,925.74,High,Consumer,Rep-1,Returned
ORD-1111,03-10-2023,Customer 38,East,USA,New York,Office Supplies,Storage,2088.95,7,5,723.77,Medium,Corporate,Rep-7,Returned
ORD-1112,04-09-2023,Customer 49,East,Australia,Sydney,Technology,Mobile,1948.02,2,0,-277.36,Medium,Corporate,Rep-5,Returned
ORD-1113,23-09-2023,Customer 17,South,India,Bangalore,Furniture,Table,1939.29,2,10,470.39,Medium,Corporate,Rep-1,
ORD-1114,15-08-2023,Customer 42,East,Canada,Vancouver,Office Supplies,Storage,2407.41,3,10,-436.97,High,Consumer,Rep-1,Delayed
ORD-1115,20-04-2023,Customer 30,East,UK,Manchester,Technology,Laptop,834.52,4,5,-265.28,Low,Corporate,Rep-2,Delayed
ORD-1116,13-10-2023,Customer 1,South,Canada,Montreal,Technology,Laptop,1802.84,3,5,-201.47,Medium,Consumer,Rep-5,Urgent
ORD-1117,24-08-2023,Customer 51,West,Canada,Toronto,Technology,Mobile,2011.78,7,10,662.1,High,Consumer,Rep-7,Returned
ORD-1118,17-06-2023,Customer 28,South,UK,London,Technology,Laptop,108.77,4,,-347.83,Medium,Home Office,Rep-5,Returned
ORD-1119,15-12-2023,Customer 41,East,Canada,Montreal,Furniture,Table,481.55,5,10,417.11,Medium,Corporate,Rep-6,Returned
,30-01-2023,Customer 24,South,Canada,Montreal,Technology,Laptop,1816.2,7,0,346.15,Low,Corporate,Rep-1,Delayed
ORD-1121,11-02-2023,Customer 6,North,Australia,Melbourne,Technology,Laptop,651.58,1,5,-192.33,Medium,Home Office,Rep-6,Urgent
ORD-1122,16-05-2023,Customer 51,North,India,Delhi,Furniture,Chair,1245.52,1,5,253.34,High,Corporate,Rep-6,
ORD-1123,25-08-2023,Customer 16,South,India,Mumbai,Technology,Laptop,2993.14,6,,-396.57,Low,Home Office,Rep-2,Delayed
ORD-1124,13-12-2023,Customer 44,West,Australia,Brisbane,Office Supplies,Binder,1008.02,3,10,-12.44,Medium,Home Office,Rep-5,Urgent
ORD-1125,22-10-2023,Customer 30,East,Canada,Vancouver,Office Supplies,Binder,681.08,8,,366.61,Low,Consumer,Rep-1,Urgent
ORD-1126,13-08-2023,Customer 35,South,USA,New York,Furniture,Chair,1872.38,2,10,-458.57,Medium,Home Office,Rep-1,Returned
ORD-1127,08-08-2023,Customer 55,East,UK,Birmingham,Office Supplies,Binder,834.48,9,5,-52.75,Low,Consumer,Rep-4,Delayed
ORD-1128,19-09-2023,Customer 47,North,UK,Manchester,Technology,Laptop,2966.22,5,10,161.88,Medium,Consumer,Rep-4,Returned
ORD-1129,26-09-2023,Customer 11,East,India,Mumbai,Technology,Mobile,2437.96,4,10,863.55,Medium,Corporate,Rep-4,Urgent
ORD-1130,07-02-2023,Customer 15,East,USA,New York,Technology,Laptop,526.66,3,10,940.05,High,Corporate,Rep-7,Urgent
ORD-1131,22-04-2023,Customer 19,East,India,Delhi,Office Supplies,Binder,1403.81,4,,296.68,Medium,Corporate,Rep-3,Delayed
,28-06-2023,Customer 54,North,UK,Manchester,Technology,Accessories,1282.22,2,0,-62.47,High,Corporate,Rep-4,Delayed
ORD-1133,28-04-2023,Customer 58,East,USA,Chicago,Office Supplies,Paper,2686.1,8,,91.18,Medium,Corporate,Rep-3,
ORD-1134,27-10-2023,Customer 50,,India,Bangalore,Technology,Mobile,2523.08,5,5,307.66,High,Corporate,Rep-6,Delayed
ORD-1135,13-08-2023,Customer 41,East,India,Bangalore,Office Supplies,Storage,290.7,5,10,514.33,Medium,Consumer,Rep-4,Delayed
ORD-1136,18-03-2023,Customer 24,,USA,New York,Furniture,Chair,2325.27,9,0,992.84,High,Corporate,Rep-2,Returned
ORD-1137,30-01-2023,Customer 27,,UK,London,Technology,Laptop,194.5,3,,913.03,High,Home Office,Rep-6,Urgent
ORD-1138,04-05-2023,Customer 1,East,Canada,Montreal,Technology,Mobile,2131.27,7,10,518.68,Low,Home Office,Rep-7,Returned
ORD-1139,07-04-2023,Customer 52,,UK,Birmingham,Technology,Laptop,712.93,4,0,55.44,Low,Consumer,Rep-4,Urgent
ORD-1140,09-09-2023,Customer 15,,India,Bangalore,Technology,Accessories,517.1,4,0,-499.03,Low,Corporate,Rep-7,Delayed
ORD-1141,02-02-2024,Customer 5,West,Canada,Vancouver,Office Supplies,Storage,393.83,2,5,943.68,High,Corporate,Rep-1,Urgent
ORD-1142,23-01-2024,Customer 37,,USA,San Francisco,Office Supplies,Storage,2451.16,5,,368.2,High,Corporate,Rep-5,
ORD-1143,25-09-2023,Customer 44,North,Canada,Vancouver,Office Supplies,Storage,2043.6,7,,727.5,Medium,Consumer,Rep-3,Returned
,25-10-2023,Customer 15,,USA,San Francisco,Technology,Mobile,1866.38,6,0,387.42,High,Home Office,Rep-1,Delayed
ORD-1145,06-04-2023,Customer 50,East,Australia,Sydney,Technology,Mobile,1664.93,1,,-130.99,High,Corporate,Rep-4,
ORD-1146,03-12-2023,Customer 28,North,Canada,Vancouver,Office Supplies,Paper,149.18,4,10,355.31,Medium,Corporate,Rep-5,Urgent
ORD-1147,23-06-2023,Customer 49,North,Canada,Vancouver,Office Supplies,Storage,1568.77,9,5,908.57,Low,Home Office,Rep-4,Delayed
ORD-1148,18-09-2023,Customer 14,,UK,Manchester,Office Supplies,Storage,2117.67,7,,826.49,Medium,Corporate,Rep-1,Urgent
ORD-1149,30-09-2023,Customer 11,,USA,San Francisco,Technology,Accessories,1321.02,3,0,907.52,Medium,Consumer,Rep-1,Delayed
ORD-1150,16-05-2023,Customer 20,West,India,Delhi,Technology,Mobile,2114.95,4,0,-219.01,High,Consumer,Rep-6,Returned
